PainelistaID;Cidade;Estado;Sexo;Nascimento;PesquisaID;Data;CodCliente;Nome;CodJob;CodQuestao;DescQuestaoPOR;Resposta;DescOpcaoPOR
397C7735-F365-479B-94E0-BCD7FA90CE4E;Teresina;PI;F;05/2002;31821770-8E76-434D-BB14-10A6CA8B7667;05/04/2022 12:53;20366462.0;98DZK9M;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6;
44BD390D-3203-4DB5-85C3-15F7B64DA978;Curitiba;PR;F;01/2001;D8811E98-FE36-4575-99E5-68BE7D31F6FB;14/03/2022 13:15;23495461.0;F60KRQX;3794;57625;Qual seu estado civil? ;1;Solteira (o)
44BD390D-3203-4DB5-85C3-15F7B64DA978;Curitiba;PR;F;01/2001;D8811E98-FE36-4575-99E5-68BE7D31F6FB;14/03/2022 13:15;23495461.0;F60KRQX;3794;57627;Você tem filhos?;2;Não
44BD390D-3203-4DB5-85C3-15F7B64DA978;Curitiba;PR;F;01/2001;D8811E98-FE36-4575-99E5-68BE7D31F6FB;14/03/2022 13:15;23495461.0;F60KRQX;3794;57724;Você tem alguma atividade remunerada, mensal?;8;Autônomo/ Free-lancer
44BD390D-3203-4DB5-85C3-15F7B64DA978;Curitiba;PR;F;01/2001;D8811E98-FE36-4575-99E5-68BE7D31F6FB;14/03/2022 13:15;23495461.0;F60KRQX;3794;57727;Em qual dessas faixas se encaixa a sua renda pessoal mensal? Você diria que é .....;1;Até 720,00
44BD390D-3203-4DB5-85C3-15F7B64DA978;Curitiba;PR;F;01/2001;D8811E98-FE36-4575-99E5-68BE7D31F6FB;14/03/2022 13:15;23495461.0;F60KRQX;3794;57791;Classe Social;5;C2 (17 - 22)
44BD390D-3203-4DB5-85C3-15F7B64DA978;Curitiba;PR;F;01/2001;D8811E98-FE36-4575-99E5-68BE7D31F6FB;14/03/2022 13:15;23495461.0;F60KRQX;3794;57792;E em qual dessas faixas se encaixa a sua renda familiar mensal, incluindo o ganho de todas as pessoas que moram em sua residência, além de outros rendimentos como aluguel, entre outros? Você diria que é .....;3;R$ 1.101 a 1.999
44BD390D-3203-4DB5-85C3-15F7B64DA978;Curitiba;PR;F;01/2001;31821770-8E76-434D-BB14-10A6CA8B7667;14/03/2022 13:18;20234273.0;98DZK9M;4037;122498;Você tem PIX? ;1;Sim 
44BD390D-3203-4DB5-85C3-15F7B64DA978;Curitiba;PR;F;01/2001;31821770-8E76-434D-BB14-10A6CA8B7667;14/03/2022 13:18;20234273.0;98DZK9M;4037;122499;Para quais finalidades você usa o PIX? ;1|2;
047F1313-AD73-46C6-9332-9D8FC1586408;Maringá;PR;F;12/1973;D8811E98-FE36-4575-99E5-68BE7D31F6FB;14/07/2022 12:04;24587205.0;F60KRQX;3794;57625;Qual seu estado civil? ;1;Solteira (o)
047F1313-AD73-46C6-9332-9D8FC1586408;Maringá;PR;F;12/1973;D8811E98-FE36-4575-99E5-68BE7D31F6FB;14/07/2022 12:04;24587205.0;F60KRQX;3794;57627;Você tem filhos?;2;Não
047F1313-AD73-46C6-9332-9D8FC1586408;Maringá;PR;F;12/1973;D8811E98-FE36-4575-99E5-68BE7D31F6FB;14/07/2022 12:04;24587205.0;F60KRQX;3794;57724;Você tem alguma atividade remunerada, mensal?;3;Estudante
